EMD_CD,EMD_NM,DONG_AREA_M2,DONG_AREA_KM2
11110101,청운동,793213.7713951899,0.7932137713951899
11110102,신교동,98894.23780218996,0.09889423780218996
11110103,궁정동,73324.95212298923,0.07332495212298923
11110104,효자동,59448.93481913914,0.05944893481913914
11110105,창성동,59442.649897431766,0.05944264989743177
11110106,통의동,62914.52068366502,0.06291452068366502
11110107,적선동,43224.66017436825,0.04322466017436825
11110108,통인동,50073.5814799098,0.0500735814799098
11110109,누상동,258773.4437501817,0.2587734437501817
11110110,누하동,56113.816717075104,0.056113816717075105
11110111,옥인동,418226.9419275327,0.41822694192753274
11110112,체부동,45031.55399529026,0.04503155399529026
11110113,필운동,86137.29072467703,0.08613729072467703
11110114,내자동,52316.367672675995,0.052316367672675994
11110115,사직동,283911.5669190327,0.28391156691903274
11110116,도렴동,29236.76790464782,0.02923676790464782
11110117,당주동,43229.15917520823,0.04322915917520823
11110118,내수동,70476.53171156032,0.07047653171156032
11110119,세종로,884516.104527535,0.884516104527535
11110120,신문로1가,65766.00800376006,0.06576600800376006
11110121,신문로2가,255026.40724549422,0.25502640724549425
11110122,청진동,61658.48600597889,0.06165848600597889
11110123,서린동,47468.85998341088,0.04746885998341088
11110124,수송동,98233.35661448711,0.09823335661448711
11110125,중학동,30614.618433117146,0.030614618433117146
11110126,종로1가,36080.062648402614,0.03608006264840261
11110127,공평동,38672.40698523913,0.03867240698523913
11110128,관훈동,73372.88043199116,0.07337288043199115
11110129,견지동,46144.46326498552,0.046144463264985516
11110130,와룡동,706991.2111430184,0.7069912111430184
11110131,권농동,34265.0960172079,0.0342650960172079
11110132,운니동,69817.29989580183,0.06981729989580183
11110133,익선동,46220.849739197554,0.04622084973919755
11110134,경운동,57271.95843911571,0.057271958439115714
11110135,관철동,82474.08120891229,0.0824740812089123
11110136,인사동,69286.14480154183,0.06928614480154183
11110137,낙원동,72896.23233101991,0.07289623233101991
11110138,종로2가,59409.84117873444,0.059409841178734435
11110139,팔판동,41236.895651553416,0.04123689565155342
11110140,삼청동,1179004.983646578,1.179004983646578
11110141,안국동,67851.11789782126,0.06785111789782125
11110142,소격동,61245.88967959559,0.061245889679595586
11110143,화동,58157.548402521395,0.058157548402521395
11110144,사간동,28697.931338849627,0.02869793133884963
11110145,송현동,45221.11397473797,0.04522111397473797
11110146,가회동,157991.46520512662,0.1579914652051266
11110147,재동,52998.97042430566,0.05299897042430566
11110148,계동,173804.83203035113,0.17380483203035113
11110149,원서동,155956.41847347937,0.15595641847347938
