F_SHIM,F_AREA,F_ZONE_NM,F_YR,FLOOD_SCALE,FLOOD_DEPTH_PER_AREA,FLOOD_RISK
0.3,106.09166321,서울특별시 종로구 삼청동 98-1 1층,2025,31.827498962999996,0.002827743395879975,낮음
0.3,665.42416057,서울특별시 종로구 구기동 136-4 1층,2025,199.627248171,0.00045084025765313514,낮음
0.3,105.17877846,서울특별시 종로구 누상동 9,2025,31.553633538,0.0028522864059891267,낮음
0.1,190.27451514,서울특별시 은평구 갈현동 329-9 지하 2호,2025,19.027451514000003,0.0005255564568193596,낮음
0.3,527.94198105,서울특별시 종로구 평창동 474-20 102호,2025,158.38259431499998,0.0005682442593471039,낮음
0.3,758.00540393,서울특별시 종로구 평창동 417-5,2025,227.40162117900002,0.00039577554255497665,낮음
0.1,126.63360857,서울특별시 은평구 불광동 353-12 지층 우측,2025,12.663360857,0.0007896797787668067,낮음
0.1,128.54941309,서울특별시 은평구 응암동 594-42 지층안쪽,2025,12.854941309,0.0007779109806591494,낮음
0.3,84.23723761,서울특별시 종로구 신영동 134-3,2025,25.271171282999997,0.003561370345368333,낮음
0.3,632.56354221,서울특별시 종로구 평창동 533-1,2025,189.769062663,0.00047426065522506073,낮음
0.3,157.26379401,서울특별시 종로구 신영동 116 1층,2025,47.179138203,0.0019076228059264789,낮음
0.3,51.25908389,서울특별시 종로구 신영동 135-1,2025,15.377725167,0.005852621179180423,낮음
0.3,171.99315293,서울특별시 종로구 신영동 135-2 없음연립 102호,2025,51.597945879,0.0017442554827871424,낮음
0.1,29.55141991,"서울특별시 은평구 불광동 310-86 연서시장, 1층 신흥상회",2025,2.955141991,0.0033839321529914265,낮음
0.1,5169.37983584,서울특별시 은평구 진관동 290-22,2025,516.937983584,1.9344680247074642e-05,낮음
0.1,119.8779968,서울특별시 은평구 응암동 584-18 102호 다온헤어,2025,11.987799680000002,0.0008341814400422146,낮음
0.5,193.54830608,서울특별시 강서구 공항동 21-3 b01호,2025,96.77415304,0.002583334414682675,낮음
0.1,680.64951822,서울특별시 은평구 불광동 391-68 103호,2025,68.064951822,0.00014691849082845886,낮음
0.1,774.89283391,서울특별시 은평구 불광동 308-19 1층,2025,77.48928339100001,0.00012905010296122382,낮음
0.1,397.86888763,서울특별시 은평구 구산동 339-1 비동 지층 나호,2025,39.78688876300001,0.00025133907955375356,낮음
0.15,158.71470954,서울특별시 노원구 월계동 473-6 정호빌라 b01호,2025,23.807206431,0.0009450919857065694,낮음
0.15,171.29754225,서울특별시 노원구 월계동 475-15 지하3호,2025,25.6946313375,0.0008756693063411423,낮음
0.15,190.29268609,서울특별시 노원구 월계동 475-23 B01호,2025,28.5439029135,0.0007882594075584001,낮음
0.5,202.21311608,서울특별시 강서구 공항동 18-4,2025,101.10655804,0.0024726388163772172,낮음
0.5,171.43658881,서울특별시 강서구 방화동 615-90 101호,2025,85.718294405,0.0029165302662090458,낮음
0.5,135.84643282,서울특별시 강서구 방화동 600-39 지층01,2025,67.92321641,0.0036806266430456282,낮음
0.1,165.08114752,서울특별시 은평구 불광동 356-25,2025,16.508114752,0.000605762690060564,낮음
