격자 X,격자 Y,EMD_CD
60,127,11170109
60,127,11110177
60,127,11110111
60,127,11110177
60,127,11140108
60,127,11410111
60,127,11110184
60,127,11410110
60,127,11410110
60,127,11140108
60,127,11140108
60,127,11140150
60,127,11140150
60,127,11110171
61,127,11140163
60,127,11140150
60,127,11140163
60,127,11140163
61,127,11140163
60,127,11170101
60,127,11170109
60,126,11170109
60,127,11170101
60,127,11170101
60,127,11140144
60,127,11140144
60,127,11170101
60,127,11140144
60,126,11140144
60,126,11170131
60,126,11200111
61,127,11200111
61,127,11200111
61,127,11200111
60,126,11440102
60,126,11170125
60,126,11170125
60,126,11170103
60,126,11170125
60,126,11170125
60,126,11170125
59,126,11590104
60,126,11170118
60,126,11170118
60,126,11170129
60,126,11170129
59,126,11590104
60,126,11170135
60,126,11170103
60,126,11650106
60,126,11170135
60,126,11650106
61,127,11200108
61,127,11200111
61,127,11140163
61,127,11200108
61,127,11200108
61,126,11200108
61,126,11200111
61,126,11200108
61,126,11200111
61,126,11200111
61,126,11680110
60,126,11170131
61,126,11200115
61,126,11680110
61,126,11200115
61,126,11200115
61,126,11200118
61,127,11200114
62,126,11215105
61,126,11215105
62,126,11200118
62,127,11200118
62,127,11215102
62,127,11200118
62,127,11215102
62,126,11200118
62,126,11710102
62,126,11710101
62,126,11710101
61,126,11680105
61,126,11215105
62,126,11215105
62,126,11215105
62,126,11215105
61,127,11200103
61,127,11140163
61,127,11200103
61,127,11200103
61,127,11200103
61,127,11200122
61,127,11200122
61,127,11200122
61,127,11200118
61,127,11230106
61,127,11230103
61,127,11230104
61,127,11230109
61,127,11230109
61,127,11230109
61,127,11230104
62,128,11260103
62,127,11230109
62,127,11215101
62,127,11230106
62,127,11260101
62,127,11215101
62,127,11215101
62,127,11260101
62,127,11260101
62,127,11230109
62,127,11230109
62,128,11230110
62,128,11230110
62,127,11260101
62,127,11260101
62,128,11260105
62,128,11260103
61,127,11290132
60,127,11110171
60,127,11140150
61,127,11290132
61,127,11290133
60,127,11110171
61,127,11140163
61,127,11140163
60,127,11290132
60,127,11290101
60,128,11290101
60,128,11290101
61,127,11290133
61,128,11290133
61,127,11230103
61,128,11290135
61,127,11230103
61,128,11290135
61,128,11290136
61,128,11290136
61,128,11290136
61,128,11305103
61,128,11305101
61,128,11305101
61,128,11290135
61,128,11290133
61,128,11290133
61,128,11305103
61,128,11305101
61,128,11305101
60,128,11305101
61,128,11305103
61,128,11305103
60,128,11305103
60,128,11305103
61,129,11320105
61,128,11305102
61,128,11305102
61,128,11305102
61,129,11350102
