UNQ_NO,SE_CD,SE_NM,PSTN_INFO,CLEANED_ADDR,LAT,LON
01-0005,1,종로,종로구 세종로208 교통섬(동화면세점 앞),서울특별시 종로구 세종로208,37.5701136772717,126.976439479056
01-0004,1,종로,"종로구 세종대로178 뒤 맨홀(KT광화문사옥뒤 자전거보관소앞 종로1길, 미대사관~종로소방서 남측, 중학천 하스박스)",서울특별시 종로구 세종대로178,37.5721506390766,126.977791560982
01-0003,1,종로,"종로구 자하문로 21 앞 맨홀(영해빌딩앞코너 측구측, 백운동천 하수박스)",서울특별시 종로구 자하문로 21,37.5779823533768,126.971609494471
01-0002,1,종로,중로구 세종대로 지하189 (세종로지하주차장 6층 천장),서울특별시 종로구 세종대로,37.5722376580739,126.977228710911
01-0001,1,종로,"종로구 새문안로9길 9 앞 맨홀(세븐일레븐앞, 현대해상화재빌딩뒤, 백운동천하수박스)",서울특별시 종로구 새문안로9길 9,37.5706253564255,126.976011435792
02-0001,2,중,"중구 남대문로10길 9 앞  맨홀<경기빌딩 앞, 청계천(삼각동천)유입 하수박스>",서울특별시 중구 남대문로10길 9,37.5672075049558,126.983233108359
02-0002,2,중,서울특별시 중구 동호로12길 118 미선여관 진입로 앞 도로변,서울특별시 중구 동호로12길 118 미선여관,37.5601963606637,127.012773442728
02-0003,2,중,서울특별시 중구 마장로5길 26 창성 중고주방가구 건물 앞 도로변,서울특별시 중구 마장로5길 26 창성 중고주방가구 건물,37.5691830556482,127.01896624378
02-0004,2,중,서울특별시 중구 퇴계로83길 형제주방앞 사거리 도로중앙,서울특별시 중구 퇴계로83길,37.5669655085185,127.018502504841
02-0005,2,중,서울특별시 중구 다산로 253 와이즈캐슬 정문앞 도로변,서울특별시 중구 다산로 253 와이즈캐슬 정문,37.5656528652194,127.015907779799
02-0006,2,중,서울특별시 중구 청계천로 106 주변,서울특별시 중구 청계천로 106,37.5676441105952,126.989279377343
03-0004,3,용산,서울특별시 용산구 문배동 29-2 용산CJ나인 파크 버스정류장 남서쪽 60m 도로에 위치,서울특별시 용산구 문배동 29-2 용산CJ나인 파크 버스정류장,37.5355166574201,126.969189853531
03-0002,3,용산,서울특별시 용산구 원효로4가 140 원효2동 동산호 아파트 버스정류장 앞 도로에 위치,서울특별시 용산구 원효로4가 140 원효2동 동산호 아파트 버스정류장,37.5333027920108,126.950791278007
03-0005,3,용산,서울특별시 용산구 문배동 24-21 용산아크로 타워 아파트 102동 201동 사이 도로에 위치,서울특별시 용산구 문배동 24-21 용산아크로 타워 아파트 102동 201동 사이 도로에 위치,37.5367545540992,126.968551771604
03-0007,3,용산,서울특별시 용산구 청파3동 73-2,서울특별시 용산구 청파3동 73-2,37.5527417034187,126.967548712999
03-0008,3,용산,서울특별시 용산구 한남동 627-1 유로주차장 도로 앞,서울특별시 용산구 한남동 627-1 유로주차장 도로,37.5325905558488,127.006066050559
03-0003,3,용산,서울특별시 용산구 원효로4가 142-3 삼성테마트 정류장 남쪽 30m 지점에 위치,서울특별시 용산구 원효로4가 142-3 삼성테마트 정류장,37.5335363645888,126.950439597847
