UNQ_NO,EMD_CD,EMD_NM
01-0005,11110119,세종로
01-0004,11110119,세종로
01-0003,11110112,체부동
01-0002,11110119,세종로
01-0001,11110120,신문로1가
02-0001,11140107,삼각동
02-0002,11140162,신당동
02-0003,11140165,황학동
02-0004,11140165,황학동
02-0005,11140163,흥인동
02-0006,11140110,수표동
03-0004,11170122,문배동
03-0002,11170118,원효로4가
03-0005,11170122,문배동
03-0007,11170108,서계동
03-0008,11170131,한남동
03-0003,11170118,원효로4가
03-0006,11170122,문배동
03-0009,11170131,한남동
05-0020,11215109,군자동
05-0001,11215105,자양동
05-0002,11215103,구의동
05-0003,11215101,중곡동
05-0004,11215103,구의동
05-0005,11215101,중곡동
05-0006,11215101,중곡동
05-0007,11215101,중곡동
05-0008,11215101,중곡동
05-0009,11215102,능동
05-0010,11215101,중곡동
05-0011,11215104,광장동
05-0012,11215104,광장동
05-0013,11215105,자양동
05-0014,11215103,구의동
05-0015,11215105,자양동
05-0023,11215101,중곡동
05-0022,11215105,자양동
05-0032,11215104,광장동
05-0018,11215107,화양동
05-0028,11215103,구의동
05-0017,11215105,자양동
05-0024,11215101,중곡동
05-0019,11215107,화양동
05-0021,11215109,군자동
05-0034,11215104,광장동
05-0029,11215103,구의동
05-0031,11215104,광장동
05-0025,11215103,구의동
05-0026,11215103,구의동
05-0027,11215103,구의동
05-0035,11215104,광장동
05-0033,11215104,광장동
05-0030,11215103,구의동
05-0016,11215105,자양동
05-0036,11215104,광장동
06-0001,11230106,장안동
06-0005,11230104,전농동
06-0008,11230103,제기동
06-0010,11230103,제기동
06-0016,11230106,장안동
06-0009,11230103,제기동
06-0002,11230110,이문동
06-0003,11230105,답십리동
06-0006,11230104,전농동
06-0015,11230105,답십리동
06-0004,11230105,답십리동
06-0007,11230102,용두동
06-0013,11230103,제기동
06-0011,11230103,제기동
06-0012,11230103,제기동
06-0014,11230101,신설동
07-0005,11260104,묵동
07-0008,11215101,중곡동
07-0010,11260103,중화동
07-0002,11260104,묵동
07-0001,11260101,면목동
07-0003,11260104,묵동
07-0006,11260104,묵동
07-0009,11260103,중화동
07-0004,11260104,묵동
07-0007,11260101,면목동
07-0012,11260106,신내동
07-0011,11260106,신내동
07-0013,11260105,망우동
08-0007,11290139,석관동
08-0001,11290139,석관동
08-0002,11290133,정릉동
08-0003,11290133,정릉동
08-0004,11290133,정릉동
08-0005,11290134,길음동
08-0006,11290139,석관동
09-0003,11305101,미아동
09-0002,11305103,수유동
09-0001,11305101,미아동
11-0001,11350103,공릉동
11-0002,11350105,상계동
11-0003,11350105,상계동
11-0004,11350105,상계동
11-0005,11350105,상계동
11-0006,11350105,상계동
11-0007,11350105,상계동
11-0008,11350105,상계동
11-0009,11350105,상계동
11-0010,11350105,상계동
11-0011,11350105,상계동
12-0013,11380107,응암동
12-0012,11380102,녹번동
12-0008,11380108,역촌동
12-0007,11380108,역촌동
12-0006,11380102,녹번동
12-0004,11380102,녹번동
12-0003,11380109,신사동
12-0002,11380110,증산동
12-0001,11380101,수색동
12-0005,11380102,녹번동
12-0010,11380108,역촌동
12-0011,11380107,응암동
12-0009,11380105,구산동
13-0015,11410104,미근동
13-0014,11410109,현저동
13-0013,11410117,연희동
13-0012,11410111,홍제동
13-0011,11410119,북가좌동
13-0010,11410116,창천동
13-0009,11410116,창천동
13-0008,11410110,북아현동
13-0007,11410110,북아현동
13-0006,11410110,북아현동
13-0005,11410110,북아현동
13-0004,11410110,북아현동
13-0003,11410114,신촌동
13-0002,11410119,북가좌동
13-0001,11410116,창천동
14-0012,11440118,당인동
14-0013,11440118,당인동
14-0014,11440122,합정동
14-0015,11440122,합정동
14-0016,11440115,상수동
14-0017,11440115,상수동
14-0018,11440115,상수동
14-0019,11440101,아현동
14-0020,11440101,아현동
14-0001,11440121,동교동
14-0002,11440124,연남동
14-0003,11440120,서교동
14-0004,11440123,망원동
14-0005,11440124,연남동
14-0006,11440125,성산동
14-0007,11440123,망원동
14-0008,11440108,대흥동
14-0009,11440110,노고산동
