EMD_CD,EMD_NM,PRED_DATETIME,COLLECTED_AT,PRED_SEVERITY,RISK_LEVEL
11110103,궁정동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110120,신문로1가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110167,충신동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110185,홍지동,2026-06-09 06:03,2026-06-09 03:03,6.176933728540211e-11,안전
11110154,장사동,2026-06-09 06:03,2026-06-09 03:03,-1.9754084519664773e-11,안전
11110135,관철동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110177,평동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110156,종로3가,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110161,종로4가,2026-06-09 06:03,2026-06-09 03:03,-1.9671053521169084e-10,안전
11110123,서린동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110178,송월동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110158,예지동,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11110127,공평동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110179,홍파동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110126,종로1가,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110117,당주동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110163,종로5가,2026-06-09 06:03,2026-06-09 03:03,-1.5045215787772187e-10,안전
11110153,돈의동,2026-06-09 06:03,2026-06-09 03:03,4.955943973004726e-11,안전
11110136,인사동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110152,봉익동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110180,교북동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110116,도렴동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110151,묘동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110157,인의동,2026-06-09 06:03,2026-06-09 03:03,-8.675004602513073e-11,안전
11110118,내수동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110121,신문로2가,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110162,효제동,2026-06-09 06:03,2026-06-09 03:03,-6.330872771971647e-11,안전
11110129,견지동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110133,익선동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110124,수송동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110128,관훈동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110174,창신동,2026-06-09 06:03,2026-06-09 03:03,5.735403525344365e-11,안전
11110119,세종로,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110164,종로6가,2026-06-09 06:03,2026-06-09 03:03,6.919169551185979e-11,안전
11110176,교남동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110155,관수동,2026-06-09 06:03,2026-06-09 03:03,-6.708170758569283e-11,안전
11110122,청진동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110131,권농동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110145,송현동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110115,사직동,2026-06-09 06:03,2026-06-09 03:03,-1.4438896057273536e-10,안전
11110113,필운동,2026-06-09 06:03,2026-06-09 03:03,-1.6685582121058286e-10,안전
11110165,이화동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110112,체부동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110141,안국동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110106,통의동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
11110160,연지동,2026-06-09 06:03,2026-06-09 03:03,-8.675004602513073e-11,안전
11110125,중학동,2026-06-09 06:03,2026-06-09 03:03,4.180979481354537e-12,안전
11110114,내자동,2026-06-09 06:03,2026-06-09 03:03,1.3799392053391859e-11,안전
